chr1	123555469
chr2	84977118
chr3	92478159
chr4	89533978
chr5	89562246
chr6	78111829
chr7	81081196
chr8	76405309
chr9	61171409
chr10	70642554
chr11	74803998
chr12	72969919
chr13	64297965
chr14	61111200
chr15	64675283
chr16	60359999
chr17	65086665
chr18	56472573
chr19	55514801
chr20	58626990
chr21	51741255
chr22	61573379
chr23	53134597
chr24	48565227
chr25	51730345
chr26	39256414
chr27	46661788
chr28	41732930
chr29	42516734
chr30	40643382
chr31	39900754
chr32	40224581
chr33	32138516
chr34	42397673
chr35	28050405
chr36	31223115
chr37	30785715
chr38	24802598
chrX	124987930
