chr1	122956915
chr2	86397490
chr3	93479712
chr4	88630877
chr5	89778077
chr6	78385505
chr7	82288100
chr8	77585995
chr9	66787146
chr10	71927348
chr11	75747776
chr12	73732241
chr13	65443671
chr14	62790595
chr15	65778685
chr16	63665305
chr17	65956162
chr18	57593331
chr19	56745407
chr20	59774210
chr21	53106277
chr22	63452744
chr23	52955009
chr24	49877449
chr25	53617450
chr26	46109286
chr27	48747035
chr28	42479636
chr29	44093449
chr30	41615186
chr31	44759192
chr32	41774919
chr33	32657166
chr34	45903255
chr35	28533288
chr36	33431748
chr37	31495737
chr38	26441244
chrX	124665963
chrY	6543223
